query,cripple,nn_seed,length_norm,alg,kernel,gamma,alpha,c,sensitivity,precision,max_in_cluster
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.40000000000000002,1.0,0.998977505112,0.998989824328,0.577709611452
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.40000000000000002,1.1000000000000001,0.986707566462,0.987673887017,0.808793456033
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.40000000000000002,1.2,0.988752556237,0.989415079886,0.959100204499
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.40000000000000002,1.3,0.91717791411,0.949280225768,0.975460122699
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.40000000000000002,1.3999999999999999,0.91717791411,0.949280225768,0.984662576687
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.40000000000000002,1.5,0.91717791411,0.949280225768,0.990797546012
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.5,1.0,1.0,1.0,0.581799591002
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.5,1.1000000000000001,0.985685071575,0.986834546732,0.810838445808
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.5,1.2,0.98773006135,0.988422559125,0.957055214724
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.5,1.3,0.91717791411,0.949280225768,0.975460122699
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.5,1.3999999999999999,0.91717791411,0.949280225768,0.984662576687
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.5,1.5,0.91717791411,0.949280225768,0.990797546012
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.59999999999999998,1.0,1.0,1.0,0.563394683027
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.59999999999999998,1.1000000000000001,0.994887525562,0.99505495618,0.807770961145
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.59999999999999998,1.2,0.990797546012,0.99141359262,0.959100204499
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.59999999999999998,1.3,0.91717791411,0.949280225768,0.975460122699
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.59999999999999998,1.3999999999999999,0.91717791411,0.949280225768,0.984662576687
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.59999999999999998,1.5,0.91717791411,0.949280225768,0.990797546012
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.69999999999999996,1.0,1.0,1.0,0.58282208589
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.69999999999999996,1.1000000000000001,0.994887525562,0.99505495618,0.815950920245
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.69999999999999996,1.2,0.990797546012,0.99141359262,0.961145194274
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.69999999999999996,1.3,0.91717791411,0.949280225768,0.975460122699
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.69999999999999996,1.3999999999999999,0.91717791411,0.949280225768,0.984662576687
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.69999999999999996,1.5,0.91717791411,0.949280225768,0.990797546012
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.80000000000000004,1.0,0.997955010225,0.998001487265,0.565439672802
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.80000000000000004,1.1000000000000001,0.989775051125,0.990545010487,0.825153374233
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.80000000000000004,1.2,0.992842535787,0.993199921914,0.964212678937
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.80000000000000004,1.3,0.91717791411,0.950391083624,0.977505112474
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.80000000000000004,1.3999999999999999,0.91717791411,0.950391083624,0.986707566462
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.80000000000000004,1.5,0.91717791411,0.950391083624,0.992842535787
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.89999999999999991,1.0,1.0,1.0,0.58282208589
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.89999999999999991,1.1000000000000001,0.986707566462,0.988032326458,0.820040899796
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.89999999999999991,1.2,0.992842535787,0.993199921914,0.964212678937
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.89999999999999991,1.3,0.91717791411,0.950391083624,0.981595092025
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.89999999999999991,1.3999999999999999,0.91717791411,0.950391083624,0.98773006135
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,0.89999999999999991,1.5,0.91717791411,0.950391083624,0.992842535787
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,1.0,1.0,0.997955010225,0.997976886752,0.59509202454
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,1.0,1.1000000000000001,0.970347648262,0.976257027778,0.837423312883
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,1.0,1.2,0.997955010225,0.997975257648,0.969325153374
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,1.0,1.3,0.918200408998,0.953860759487,0.986707566462
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,1.0,1.3999999999999999,0.918200408998,0.953860759487,0.992842535787
rfam75id_dinuc3000-rename,1,7,false,labelSpreading,rbf,0.5,1.0,1.5,0.918200408998,0.953860759487,0.996932515337
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.40000000000000002,1.0,0.99591002045,0.996011683879,0.520449897751
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.40000000000000002,1.1000000000000001,0.961145194274,0.967952907899,0.79754601227
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.40000000000000002,1.2,0.958077709611,0.967967653039,0.91308793456
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.40000000000000002,1.3,0.928425357873,0.945624075767,0.943762781186
