sensitivity,precision,max_in_cluster,alg,alpha,nn_seed,length_norm,kernel,gamma,c,cripple,query
0.998977505112,0.998987628824,0.699386503067,labelSpreading,0.40000000000000002,7,false,rbf,0.5,1.0,0,rfam75id-rename
0.998977505112,0.998992323879,0.912065439673,labelSpreading,0.40000000000000002,7,false,rbf,0.5,1.1000000000000001,0,rfam75id-rename
1.0,1.0,0.966257668712,labelSpreading,0.40000000000000002,7,false,rbf,0.5,1.2,0,rfam75id-rename
1.0,1.0,0.988752556237,labelSpreading,0.40000000000000002,7,false,rbf,0.5,1.3,0,rfam75id-rename
0.998977505112,0.998987628824,0.699386503067,labelSpreading,0.5,7,false,rbf,0.5,1.0,0,rfam75id-rename
0.998977505112,0.998992323879,0.912065439673,labelSpreading,0.5,7,false,rbf,0.5,1.1000000000000001,0,rfam75id-rename
1.0,1.0,0.966257668712,labelSpreading,0.5,7,false,rbf,0.5,1.2,0,rfam75id-rename
1.0,1.0,0.988752556237,labelSpreading,0.5,7,false,rbf,0.5,1.3,0,rfam75id-rename
0.998977505112,0.998987628824,0.699386503067,labelSpreading,0.59999999999999998,7,false,rbf,0.5,1.0,0,rfam75id-rename
0.998977505112,0.998992323879,0.912065439673,labelSpreading,0.59999999999999998,7,false,rbf,0.5,1.1000000000000001,0,rfam75id-rename
1.0,1.0,0.966257668712,labelSpreading,0.59999999999999998,7,false,rbf,0.5,1.2,0,rfam75id-rename
1.0,1.0,0.988752556237,labelSpreading,0.59999999999999998,7,false,rbf,0.5,1.3,0,rfam75id-rename
0.998977505112,0.998987628824,0.699386503067,labelSpreading,0.69999999999999996,7,false,rbf,0.5,1.0,0,rfam75id-rename
0.998977505112,0.998992323879,0.912065439673,labelSpreading,0.69999999999999996,7,false,rbf,0.5,1.1000000000000001,0,rfam75id-rename
1.0,1.0,0.966257668712,labelSpreading,0.69999999999999996,7,false,rbf,0.5,1.2,0,rfam75id-rename
1.0,1.0,0.988752556237,labelSpreading,0.69999999999999996,7,false,rbf,0.5,1.3,0,rfam75id-rename
0.998977505112,0.998987628824,0.699386503067,labelSpreading,0.80000000000000004,7,false,rbf,0.5,1.0,0,rfam75id-rename
0.998977505112,0.998992323879,0.912065439673,labelSpreading,0.80000000000000004,7,false,rbf,0.5,1.1000000000000001,0,rfam75id-rename
1.0,1.0,0.966257668712,labelSpreading,0.80000000000000004,7,false,rbf,0.5,1.2,0,rfam75id-rename
1.0,1.0,0.988752556237,labelSpreading,0.80000000000000004,7,false,rbf,0.5,1.3,0,rfam75id-rename
0.998977505112,0.998987628824,0.699386503067,labelSpreading,0.89999999999999991,7,false,rbf,0.5,1.0,0,rfam75id-rename
0.998977505112,0.998992323879,0.912065439673,labelSpreading,0.89999999999999991,7,false,rbf,0.5,1.1000000000000001,0,rfam75id-rename
1.0,1.0,0.966257668712,labelSpreading,0.89999999999999991,7,false,rbf,0.5,1.2,0,rfam75id-rename
1.0,1.0,0.988752556237,labelSpreading,0.89999999999999991,7,false,rbf,0.5,1.3,0,rfam75id-rename
0.998977505112,0.998987628824,0.699386503067,labelSpreading,1.0,7,false,rbf,0.5,1.0,0,rfam75id-rename
0.998977505112,0.998992323879,0.912065439673,labelSpreading,1.0,7,false,rbf,0.5,1.1000000000000001,0,rfam75id-rename
1.0,1.0,0.966257668712,labelSpreading,1.0,7,false,rbf,0.5,1.2,0,rfam75id-rename
1.0,1.0,0.988752556237,labelSpreading,1.0,7,false,rbf,0.5,1.3,0,rfam75id-rename
0.993865030675,0.994125725348,0.673824130879,labelSpreading,0.40000000000000002,7,true,rbf,0.5,1.0,0,rfam75id-rename
0.996932515337,0.996991905533,0.90899795501,labelSpreading,0.40000000000000002,7,true,rbf,0.5,1.1000000000000001,0,rfam75id-rename
1.0,1.0,0.89263803681,labelSpreading,0.40000000000000002,7,true,rbf,0.5,1.2,0,rfam75id-rename
1.0,1.0,0.965235173824,labelSpreading,0.40000000000000002,7,true,rbf,0.5,1.3,0,rfam75id-rename
