query,unformatted,cripple,nn_seed,inc_centroids,components,length_norm,alg,kernel,gamma,alpha,multilabel,c,merge,sensitivity,precision,max_in_cluster
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.6,1.0,True,1.02,True,0.7145000000000001,0.874982616052052,0.7327999999999999
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.4,1.0,True,1.0,False,0.8083,0.9166912761709745,0.6566
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.5,0.9,False,1.1,True,0.715,0.848136836777621,0.6787
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.5,0.9,True,1.0,True,0.8423999999999999,0.9335630118371909,0.6996
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.5,0.7,True,1.02,False,0.6965000000000001,0.8440393948507154,0.7406
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.5,0.8,True,1.0,True,0.8103,0.933001068477582,0.7434
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.5,0.7,True,1.0,False,0.8139999999999998,0.9211313150919412,0.7079000000000001
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.7,0.9,False,1.02,False,0.9555999999999999,0.9628865356729452,0.5257000000000001
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.5,0.6,False,1.1,True,0.696,0.8436242271067249,0.6704000000000001
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.3,0.7,False,1.1,True,0.7176,0.8537404609435487,0.6723000000000001
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.3,1.0,True,1.2,False,0.4016,0.5559963028587308,0.7395999999999999
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.4,0.8,True,1.3,True,0.3808,0.4790149175095572,0.8673
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.7,0.8,True,1.02,False,0.7710000000000001,0.9116135678644091,0.6803
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.7,0.7,False,1.02,True,0.8695,0.9261603818887438,0.6244
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.3,0.8,True,1.1,False,0.6020999999999999,0.7658527126293501,0.6881
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.7,0.8,False,1.08,False,0.9091000000000001,0.9309486841234651,0.5439
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.7,0.8,True,1.05,False,0.635,0.8010073745331553,0.7186999999999999
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.3,0.6,False,1.08,True,0.7537,0.8763885422277792,0.6502000000000001
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.7,0.6,False,1.08,True,0.7468,0.8690542562807206,0.651
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.6,0.9,True,1.1,True,0.41430000000000006,0.557460573703668,0.8532
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.5,0.8,True,1.05,True,0.5915000000000001,0.748176493906947,0.8100999999999999
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.5,1.0,False,1.0,True,0.8855999999999999,0.9331741861063347,0.6482
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.6,0.7,False,1.3,False,0.7231000000000002,0.8274744735435107,0.5733
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.3,1.0,True,1.1,False,0.5036000000000002,0.6948652549630381,0.7106000000000001
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.3,0.9,False,1.1,True,0.6953,0.8517503530307261,0.732
