query,unformatted,cripple,nn_seed,inc_centroids,components,length_norm,alg,kernel,gamma,alpha,multilabel,c,merge,sensitivity,precision,max_in_cluster
fam40_typedistributed_embed+bg_weak,False,40,19,False,150,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.28999999999999998,0.32591426467447648,0.60899999999999999
fam40_typedistributed_embed+bg_weak,False,6,19,False,200,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.154,0.23749848184554195,0.78200000000000003
fam40_typedistributed_plain+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.99299999999999999,0.99334045584045594,0.77700000000000002
fam40_typedistributed_plain+bg_weak,False,40,19,False,150,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.58299999999999996,0.69984367633211608,0.72399999999999998
fam40_typedistributed_embed+bg_weak,False,40,19,False,200,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.189,0.24824101872184917,0.64100000000000001
fam40_typedistributed_plain+bg_weak,False,6,19,False,125,False,labelSpreading,rbf,0.5,1.0,True,1.3,False,0.33900000000000002,0.43815056738582236,0.90600000000000003
fam40_typedistributed_embed+bg_weak,False,6,19,False,200,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.86399999999999999,0.9508760566033293,0.64800000000000002
fam40_typedistributed_embed+bg_weak,False,40,19,False,200,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.39700000000000002,0.54621694890077244,0.63400000000000001
fam40_typedistributed_plain+bg_weak,False,40,19,False,200,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.44800000000000001,0.55638799418971829,0.77100000000000002
fam40_typedistributed_plain+bg_weak,False,6,19,False,200,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.58399999999999996,0.71067793589459449,0.78300000000000003
fam40_typedistributed_plain+bg_weak,False,6,19,False,50,False,labelSpreading,rbf,0.5,1.0,True,1.3,False,0.85499999999999998,0.93440637455699127,0.80400000000000005
fam40_typedistributed_embed+bg_weak,False,6,19,False,200,False,labelSpreading,rbf,0.5,1.0,True,1.3,False,0.080000000000000002,0.086796127875919948,0.81000000000000005
fam40_typedistributed_plain+bg_weak,False,40,19,False,125,False,labelSpreading,rbf,0.5,1.0,True,1.3,False,0.251,0.2670226372364719,0.88300000000000001
fam40_typedistributed_embed+bg_weak,False,40,19,False,175,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.745,0.88358179390615121,0.54900000000000004
fam40_typedistributed_plain+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.97099999999999997,0.97330922237987449,0.79700000000000004
fam40_typedistributed_embed+bg_weak,False,6,19,False,50,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.61899999999999999,0.74219482864758235,0.72699999999999998
fam40_typedistributed_embed+bg_weak,False,6,19,False,175,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.48699999999999999,0.64540636015020292,0.754
fam40_typedistributed_plain+bg_weak,False,6,19,False,75,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.93799999999999994,0.96133208218984079,0.80600000000000005
fam40_typedistributed_plain+bg_weak,False,6,19,False,50,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.89700000000000002,0.96006638769708841,0.79500000000000004
fam40_typedistributed_plain+bg_weak,False,40,19,False,75,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.35399999999999998,0.39366543426390627,0.89700000000000002
fam40_typedistributed_embed+bg_weak,False,40,19,False,75,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.375,0.448174713873498,0.81399999999999995
fam40_typedistributed_plain+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.40000000000000002,0.47931587262136155,0.89000000000000001
fam40_typedistributed_plain+bg_weak,False,40,19,False,175,False,labelSpreading,rbf,0.5,1.0,True,1.3,False,0.13300000000000001,0.1848519468477744,0.80100000000000005
fam40_typedistributed_embed+bg_weak,False,6,19,False,175,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.17199999999999999,0.23686617198568788,0.77100000000000002
fam40_typedistributed_plain+bg_weak,False,6,19,False,50,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.96499999999999997,0.97111402634929977,0.78700000000000003
fam40_typedistributed_plain+bg_weak,False,40,19,False,50,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.69599999999999995,0.75793408335324097,0.86899999999999999
fam40_typedistributed_embed+bg_weak,False,40,19,False,75,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.625,0.82122540819122802,0.76600000000000001
fam40_typedistributed_plain+bg_weak,False,6,19,False,75,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.97599999999999998,0.9772599272707968,0.78600000000000003
fam40_typedistributed_plain+bg_weak,False,6,19,False,150,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.91800000000000004,0.94393140588588831,0.81100000000000005
fam40_typedistributed_plain+bg_weak,False,40,19,False,75,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.83299999999999996,0.87473613986657461,0.872
fam40_typedistributed_embed+bg_weak,False,40,19,False,175,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.377,0.56402120147507195,0.58899999999999997
fam40_typedistributed_embed+bg_weak,False,40,19,False,50,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.27700000000000002,0.32356558516009737,0.80000000000000004
fam40_typedistributed_embed+bg_weak,False,6,19,False,125,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.72699999999999998,0.84205500185435744,0.747
fam40_typedistributed_embed+bg_weak,False,40,19,False,150,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.82999999999999996,0.89866048201684312,0.53400000000000003
fam40_typedistributed_plain+bg_weak,False,6,19,False,150,False,labelSpreading,rbf,0.5,1.0,True,1.3,False,0.89300000000000002,0.93096528297561421,0.81999999999999995
fam40_typedistributed_embed+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.78300000000000003,0.8817027755247675,0.64700000000000002
fam40_typedistributed_embed+bg_weak,False,40,19,False,50,False,labelSpreading,rbf,0.5,1.0,True,1.3,False,0.14999999999999999,0.14064871466981441,0.81299999999999994
fam40_typedistributed_embed+bg_weak,False,40,19,False,75,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.20699999999999999,0.23604357814699453,0.83999999999999997
fam40_typedistributed_plain+bg_weak,False,6,19,False,150,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.95699999999999996,0.96655211848043066,0.78000000000000003
fam40_typedistributed_plain+bg_weak,False,40,19,False,175,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.88500000000000001,0.94792619598006422,0.70599999999999996
fam40_typedistributed_embed+bg_weak,False,6,19,False,175,False,labelSpreading,rbf,0.5,1.0,True,1.3,False,0.13400000000000001,0.13681476939846041,0.78200000000000003
fam40_typedistributed_plain+bg_weak,False,40,19,False,75,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.53300000000000003,0.64613593913289491,0.88500000000000001
fam40_typedistributed_plain+bg_weak,False,40,19,False,175,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.27600000000000002,0.38630622771462525,0.78300000000000003
fam40_typedistributed_plain+bg_weak,False,40,19,False,125,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.61399999999999999,0.72167373562110404,0.85399999999999998
fam40_typedistributed_embed+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.91400000000000003,0.93914774767715947,0.64300000000000002
fam40_typedistributed_plain+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.3,False,0.26900000000000002,0.33267084211831821,0.90700000000000003
fam40_typedistributed_embed+bg_weak,False,6,19,False,75,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.67100000000000004,0.79735881943090803,0.70199999999999996
fam40_typedistributed_plain+bg_weak,False,40,19,False,75,False,labelSpreading,rbf,0.5,1.0,True,1.3,False,0.254,0.29352953515540442,0.89700000000000002
fam40_typedistributed_embed+bg_weak,False,40,19,False,125,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.80200000000000005,0.88497189587252201,0.57499999999999996
fam40_typedistributed_plain+bg_weak,False,40,19,False,50,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.48099999999999998,0.54304884673859366,0.89900000000000002
fam40_typedistributed_embed+bg_weak,False,40,19,False,150,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.499,0.71371436290220869,0.57799999999999996
fam40_typedistributed_embed+bg_weak,False,6,19,False,50,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.79800000000000004,0.88689601550374531,0.68000000000000005
fam40_typedistributed_embed+bg_weak,False,6,19,False,50,False,labelSpreading,rbf,0.5,1.0,True,1.3,False,0.58799999999999997,0.69106237468472775,0.73199999999999998
fam40_typedistributed_embed+bg_weak,False,40,19,False,200,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.80200000000000005,0.91722309836627258,0.56499999999999995
fam40_typedistributed_plain+bg_weak,False,40,19,False,125,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.41299999999999998,0.47136563874268789,0.87
fam40_typedistributed_plain+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.62,0.73081454041882032,0.86299999999999999
fam40_typedistributed_plain+bg_weak,False,6,19,False,50,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.86499999999999999,0.93956097563790109,0.79700000000000004
fam40_typedistributed_embed+bg_weak,False,6,19,False,175,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.84399999999999997,0.93825160584328293,0.66700000000000004
