query,unformatted,cripple,nn_seed,inc_centroids,components,length_norm,alg,kernel,gamma,alpha,multilabel,c,merge,sensitivity,precision,max_in_cluster
fam40_typedistributed_embed+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.7,1.0,True,1.1,False,0.46700000000000003,0.63291378784799834,0.78600000000000003
fam40_typedistributed_plain+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.4,1.0,True,1.1,False,0.95999999999999996,0.96660605879627626,0.80400000000000005
fam40_typedistributed_plain+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.3,1.0,True,1.2,False,0.35799999999999998,0.38273755777650592,0.91300000000000003
fam40_typedistributed_embed+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.6,1.0,True,1.2,False,0.224,0.3078145655895364,0.72799999999999998
fam40_typedistributed_embed+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.3,1.0,True,1.1,False,0.71499999999999997,0.91695889894419302,0.71199999999999997
fam40_typedistributed_embed+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.7,1.0,True,1.1,False,0.44700000000000001,0.58838566208976961,0.65700000000000003
fam40_typedistributed_plain+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.71399999999999997,0.81289497383247389,0.86899999999999999
fam40_typedistributed_plain+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.3,1.0,True,1.0,False,0.98599999999999999,0.98751657824933681,0.73699999999999999
fam40_typedistributed_plain+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.7,1.0,True,1.0,False,0.98999999999999999,0.99143176178660053,0.76600000000000001
fam40_typedistributed_embed+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.7,1.0,True,1.3,False,0.254,0.24741579905422006,0.621
fam40_typedistributed_embed+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.3,1.0,True,1.0,False,0.54900000000000004,0.64787939349512347,0.72899999999999998
fam40_typedistributed_plain+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.96999999999999997,0.9734100627041804,0.79600000000000004
fam40_typedistributed_embed+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.7,1.0,True,1.1,False,0.47199999999999998,0.61478948580809656,0.61199999999999999
fam40_typedistributed_embed+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.4,1.0,True,1.0,False,0.876,0.91781906120804146,0.629
fam40_typedistributed_embed+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.82499999999999996,0.91052045385725566,0.67500000000000004
fam40_typedistributed_embed+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.4,1.0,True,1.0,False,0.91700000000000004,0.93271040815062556,0.66900000000000004
fam40_typedistributed_plain+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.3,1.0,True,1.1,False,0.93700000000000006,0.96414732011283744,0.79100000000000004
fam40_typedistributed_plain+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.38300000000000001,0.460534003693231,0.90400000000000003
fam40_typedistributed_embed+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.4,1.0,True,1.1,False,0.56200000000000006,0.7509460326372116,0.67400000000000004
fam40_typedistributed_embed+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.28299999999999997,0.37821676387081188,0.70099999999999996
fam40_typedistributed_embed+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.6,1.0,True,1.1,False,0.44,0.55839711071220421,0.69599999999999995
fam40_typedistributed_embed+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.3,1.0,True,1.1,False,0.58299999999999996,0.73375324953093768,0.67500000000000004
fam40_typedistributed_embed+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.4,1.0,True,1.3,False,0.193,0.20259772597011461,0.70999999999999996
fam40_typedistributed_plain+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.6,1.0,True,1.2,False,0.91700000000000004,0.94963001872155184,0.80300000000000005
fam40_typedistributed_embed+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.3,1.0,True,1.3,False,0.61899999999999999,0.79352942455306519,0.71699999999999997
fam40_typedistributed_embed+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.7,1.0,True,1.3,False,0.182,0.21605310477903747,0.80100000000000005
fam40_typedistributed_embed+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.3,1.0,True,1.3,False,0.14000000000000001,0.14382174675582193,0.77600000000000002
fam40_typedistributed_plain+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.7,1.0,True,1.1,False,0.73399999999999999,0.83792481585802892,0.86399999999999999
fam40_typedistributed_embed+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.3,1.0,True,1.2,False,0.20799999999999999,0.24488049775930493,0.77200000000000002
fam40_typedistributed_plain+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.4,1.0,True,1.1,False,0.70799999999999996,0.78299165994081255,0.84999999999999998
