query,unformatted,cripple,nn_seed,inc_centroids,components,length_norm,alg,kernel,gamma,alpha,multilabel,c,merge,sensitivity,precision,max_in_cluster
rfam75id-rename,False,4,19,True,100,True,labelSpreading,rbf,0.3,0.7,True,1.0,False,0.9688139059304705,0.9744452018827712,0.7225971370143149
rfam75id-rename,False,2,19,True,100,True,labelSpreading,rbf,0.7,0.7,True,1.05,False,0.9895705521472392,0.9888291362306774,0.8152351738241308
rfam75id-rename,False,9,19,True,100,True,labelSpreading,rbf,0.3,0.7,False,1.0,True,0.9014314928425359,0.9269697459278465,0.6123721881390594
rfam75id-rename,False,9,19,True,100,True,labelSpreading,rbf,0.3,0.7,True,1.1,True,0.7076687116564416,0.7586640255874618,0.9126789366053168
rfam75id-rename,False,2,19,True,100,True,labelSpreading,rbf,0.3,0.7,True,1.1,True,0.9563394683026585,0.9675031129526609,0.9300613496932517
rfam75id-rename,False,20,19,True,100,True,labelSpreading,rbf,0.3,0.7,False,1.0,False,0.7815950920245397,0.9007668686265854,0.527402862985685
rfam75id-rename,False,4,19,True,100,True,labelSpreading,rbf,0.3,0.7,True,1.1,False,0.9309815950920244,0.9308558050470817,0.9042944785276076
rfam75id-rename,False,4,19,True,100,True,labelSpreading,rbf,0.7,0.7,False,1.1,False,0.9717791411042944,0.9752099574578408,0.7243353783231083
rfam75id-rename,False,8,19,True,100,True,labelSpreading,rbf,0.7,0.7,True,1.0,True,0.8193251533742332,0.8905652949202146,0.757157464212679
rfam75id-rename,False,4,19,True,100,True,labelSpreading,rbf,0.7,0.7,True,1.0,False,0.9665644171779142,0.9686356270872094,0.6757668711656442
rfam75id-rename,False,4,19,True,100,True,labelSpreading,rbf,0.3,0.7,False,1.0,False,0.9839468302658487,0.9866879136285144,0.5533742331288344
rfam75id-rename,False,13,19,True,100,True,labelSpreading,rbf,0.3,0.7,False,1.0,True,0.8376278118609406,0.8782752594347636,0.6306748466257668
rfam75id-rename,False,1,19,True,100,True,labelSpreading,rbf,0.3,0.7,False,1.05,True,0.9740286298568508,0.9786289087368732,0.7609406952965235
rfam75id-rename,False,9,19,True,100,True,labelSpreading,rbf,0.7,0.7,True,1.05,True,0.7603271983640081,0.8471161478395197,0.8266871165644172
rfam75id-rename,False,13,19,True,100,True,labelSpreading,rbf,0.3,0.7,True,1.1,True,0.5441717791411043,0.6499953533580509,0.9224948875255624
rfam75id-rename,False,19,19,True,100,True,labelSpreading,rbf,0.3,0.7,True,1.05,True,0.3468302658486707,0.5258085763886147,0.8914110429447855
