ClustID	MergedIDs	Count	AvgDissim	Members
M21	4695,6028	19	0.68	RF00002_14,RF00002_20,RF00002_22,RF00002_2,RF00002_3,RF00002_17,RF00002_6,RF00002_7,RF00002_12,RF00002_5,RF00002_10,RF00002_9,RF00002_18,RF00002_19,RF00002_21,RF00002_15,RF00002_1,RF00002_8,RF00002_11
M22	6540	7	0.46	RF00018_3,RF00018_2,RF00018_1,RF00018_7,RF00018_6,RF00018_5,RF00018_4
M11	6018,6681	18	0.74	RF00017_12,RF00017_1,RF00017_2,RF00017_3,RF00017_4,RF00017_5,RF00017_6,RF00017_7,RF00017_8,RF00017_9,RF00017_15,RF00017_13,RF00017_10,RF00017_11,RF00017_16,dinucShuff_942,RF00017_17,dinucShuff_2330
M10	3401,3912,3784,6800	25	0.60	RF00032_23,RF00032_5,RF00032_24,RF00032_9,RF00032_40,RF00032_41,RF00032_13,RF00032_17,RF00032_3,RF00032_20,RF00032_6,RF00032_25,RF00032_39,RF00032_29,RF00032_37,RF00032_43,RF00032_10,RF00032_16,RF00032_14,RF00032_22,RF00032_27,RF00032_31,RF00032_36,RF00032_2,RF00032_38
M13	2311,251,5361,1281,1578	50	0.74	RF00006_18,RF00006_19,RF00006_10,RF00006_14,RF00006_16,RF00006_17,RF00006_34,RF00006_35,RF00006_32,RF00006_33,RF00006_30,RF00006_31,RF00006_51,RF00006_39,RF00006_6,RF00006_7,RF00006_5,RF00006_2,RF00006_3,RF00006_1,RF00006_43,RF00006_42,RF00006_45,RF00006_40,RF00006_47,RF00006_46,RF00006_25,RF00006_24,RF00006_27,RF00006_26,RF00006_21,RF00006_20,RF00006_23,RF00006_44,RF00006_49,RF00006_48,RF00006_28,RF00006_15,RF00006_36,RF00006_37,RF00006_50,RF00006_38,RF00006_8,RF00006_4,RF00006_22,RF00006_29,RF00006_52,RF00006_11,RF00006_41,dinucShuff_330
M12	3246	31	0.78	RF00012_38,RF00012_37,RF00012_36,RF00012_35,RF00012_34,RF00012_33,RF00012_32,RF00012_31,RF00012_30,RF00012_15,RF00012_17,RF00012_13,RF00012_12,RF00012_9,RF00012_8,RF00012_5,RF00012_4,RF00012_7,RF00012_6,RF00012_3,RF00012_2,RF00012_28,RF00012_29,RF00012_20,RF00012_21,RF00012_22,RF00012_23,RF00012_24,RF00012_25,RF00012_26,RF00012_27
M15	270,6516	11	0.62	RF00008_8,RF00008_9,RF00008_4,RF00008_6,RF00008_7,RF00008_1,RF00008_2,RF00008_12,RF00008_13,RF00008_10,RF00008_11
M14	7528,2939,7742,5022	24	0.62	RF00019_18,RF00019_19,RF00019_21,RF00019_15,RF00019_16,RF00019_22,RF00019_10,RF00019_11,RF00019_12,RF00019_24,RF00019_8,RF00019_9,RF00019_23,RF00019_20,RF00019_3,RF00019_1,RF00019_6,RF00019_7,RF00019_4,RF00019_14,RF00019_5,RF00019_17,RF00019_13,RF00019_2
M17	7625	4	0.54	RF00032_42,RF00032_19,RF00032_28,RF00032_4
M16	1521,2621	37	0.84	RF00013_26,RF00013_68,RF00013_21,RF00013_61,RF00013_60,RF00013_67,RF00013_41,RF00013_40,RF00013_42,RF00013_45,RF00013_44,RF00013_47,RF00013_49,RF00013_48,RF00013_84,RF00013_81,RF00013_80,RF00013_5,RF00013_30,RF00013_37,RF00013_16,RF00013_14,RF00013_12,RF00013_11,RF00013_74,RF00013_76,RF00013_70,RF00013_52,RF00013_6,RF00013_51,RF00013_1,RF00013_58,RF00013_82,RF00013_43,RF00013_66,RF00013_23,RF00013_13
M19	3462	34	0.84	RF00009_39,RF00009_20,RF00009_23,RF00009_24,RF00009_27,RF00009_28,RF00009_43,RF00009_41,RF00009_60,RF00009_47,RF00009_44,RF00009_45,RF00009_49,RF00009_68,RF00009_7,RF00009_6,RF00009_3,RF00009_2,RF00009_9,RF00009_8,RF00009_37,RF00009_67,RF00009_34,RF00009_19,RF00009_18,RF00009_30,RF00009_15,RF00009_10,RF00009_13,RF00009_12,RF00009_51,RF00009_55,RF00009_56,RF00009_58
M18	3391,623,875	44	0.72	RF00011_32,RF00011_33,RF00011_31,RF00011_30,RF00011_14,RF00011_15,RF00011_16,RF00011_17,RF00011_10,RF00011_11,RF00011_12,RF00011_13,RF00011_36,RF00011_38,RF00011_39,RF00011_18,RF00011_19,RF00011_37,RF00011_34,RF00011_35,RF00011_2,RF00011_3,RF00011_1,RF00011_6,RF00011_7,RF00011_4,RF00011_5,RF00011_8,RF00011_9,RF00011_41,RF00011_40,RF00011_21,RF00011_20,RF00011_23,RF00011_22,RF00011_25,RF00011_24,RF00011_27,RF00011_26,RF00011_29,RF00011_28,RF00010_14,RF00010_35,RF00010_24
